"STATION","DATE","DLY-DUTR-NORMAL","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"PSW00040309","07-07","11.1","81.8","87.4","76.3"
"PSW00040309","07-08","11.1","81.8","87.3","76.3"
"PSW00040309","07-09","11.0","81.8","87.3","76.3"
"PSW00040309","07-10","11.0","81.8","87.3","76.3"
"PSW00040309","07-11","10.9","81.8","87.2","76.3"
"PSW00040309","07-12","10.9","81.7","87.2","76.3"
"PSW00040309","07-13","10.8","81.7","87.1","76.3"
"PSW00040309","07-14","10.8","81.7","87.1","76.3"
"PSW00040309","07-15","10.7","81.7","87.1","76.3"
"PSW00040309","07-16","10.7","81.7","87.0","76.4"
"PSW00040309","07-17","10.6","81.7","87.0","76.4"
"PSW00040309","07-18","10.6","81.7","87.0","76.4"
"PSW00040309","07-19","10.5","81.7","86.9","76.4"
"PSW00040309","07-20","10.5","81.7","86.9","76.4"
"PSW00040309","07-21","10.4","81.7","86.9","76.5"
"PSW00040309","07-22","10.4","81.7","86.9","76.5"
"PSW00040309","07-23","10.3","81.7","86.8","76.5"
"PSW00040309","07-24","10.3","81.7","86.8","76.5"
"PSW00040309","07-25","10.3","81.7","86.8","76.5"
"PSW00040309","07-26","10.2","81.7","86.8","76.6"
"PSW00040309","07-27","10.2","81.7","86.8","76.6"
"PSW00040309","07-28","10.2","81.7","86.8","76.6"
"PSW00040309","07-29","10.2","81.7","86.8","76.6"
"PSW00040309","07-30","10.1","81.7","86.8","76.6"
"PSW00040309","07-31","10.1","81.7","86.8","76.6"
"PSW00040309","08-01","10.1","81.7","86.8","76.7"
"PSW00040309","08-02","10.1","81.7","86.8","76.7"
"PSW00040309","08-03","10.1","81.7","86.8","76.7"
"PSW00040309","08-04","10.1","81.7","86.8","76.7"
"PSW00040309","08-05","10.1","81.7","86.8","76.7"
"PSW00040309","08-06","10.1","81.8","86.8","76.7"
"PSW00040309","08-07","10.1","81.8","86.8","76.7"
"PSW00040309","08-08","10.2","81.8","86.8","76.7"
"PSW00040309","08-09","10.2","81.8","86.9","76.7"
"PSW00040309","08-10","10.2","81.8","86.9","76.7"
"PSW00040309","08-11","10.2","81.8","86.9","76.7"
"PSW00040309","08-12","10.2","81.8","86.9","76.7"
"PSW00040309","08-13","10.3","81.8","86.9","76.7"
"PSW00040309","08-14","10.3","81.8","87.0","76.7"
"PSW00040309","08-15","10.3","81.8","87.0","76.6"
"PSW00040309","08-16","10.4","81.8","87.0","76.6"
"PSW00040309","08-17","10.4","81.8","87.0","76.6"
"PSW00040309","08-18","10.4","81.8","87.0","76.6"
"PSW00040309","08-19","10.5","81.8","87.1","76.6"
"PSW00040309","08-20","10.5","81.8","87.1","76.6"
"PSW00040309","08-21","10.5","81.8","87.1","76.6"
"PSW00040309","08-22","10.6","81.8","87.1","76.5"
"PSW00040309","08-23","10.6","81.8","87.1","76.5"
"PSW00040309","08-24","10.6","81.8","87.1","76.5"
"PSW00040309","08-25","10.7","81.8","87.2","76.5"
"PSW00040309","08-26","10.7","81.8","87.2","76.5"
"PSW00040309","08-27","10.7","81.8","87.2","76.5"
"PSW00040309","08-28","10.7","81.8","87.2","76.5"
"PSW00040309","08-29","10.8","81.8","87.2","76.5"
"PSW00040309","08-30","10.8","81.8","87.2","76.4"
"PSW00040309","08-31","10.8","81.8","87.2","76.4"
"PSW00040309","09-01","10.8","81.8","87.3","76.4"
"PSW00040309","09-02","10.8","81.8","87.3","76.4"
"PSW00040309","09-03","10.9","81.8","87.3","76.4"
"PSW00040309","09-04","10.9","81.8","87.3","76.4"
"PSW00040309","09-05","10.9","81.8","87.3","76.4"
"PSW00040309","09-06","10.9","81.9","87.3","76.4"
"PSW00040309","09-07","10.9","81.9","87.3","76.4"
"PSW00040309","09-08","10.9","81.9","87.3","76.4"
"PSW00040309","09-09","10.9","81.9","87.3","76.4"
"PSW00040309","09-10","10.9","81.9","87.3","76.4"
"PSW00040309","09-11","10.8","81.9","87.3","76.5"
"PSW00040309","09-12","10.8","81.9","87.3","76.5"
"PSW00040309","09-13","10.8","81.9","87.3","76.5"
"PSW00040309","09-14","10.8","81.9","87.3","76.5"
"PSW00040309","09-15","10.8","81.9","87.3","76.5"
"PSW00040309","09-16","10.7","81.9","87.3","76.6"
"PSW00040309","09-17","10.7","81.9","87.3","76.6"
"PSW00040309","09-18","10.7","81.9","87.3","76.6"
"PSW00040309","09-19","10.7","82.0","87.3","76.6"
"PSW00040309","09-20","10.6","82.0","87.3","76.7"
"PSW00040309","09-21","10.6","82.0","87.3","76.7"
"PSW00040309","09-22","10.6","82.0","87.3","76.7"
"PSW00040309","09-23","10.6","82.0","87.3","76.7"
"PSW00040309","09-24","10.5","82.0","87.3","76.8"
"PSW00040309","09-25","10.5","82.1","87.3","76.8"
"PSW00040309","09-26","10.5","82.1","87.3","76.8"
"PSW00040309","09-27","10.4","82.1","87.3","76.9"
"PSW00040309","09-28","10.4","82.1","87.3","76.9"
"PSW00040309","09-29","10.4","82.1","87.3","76.9"
"PSW00040309","09-30","10.4","82.2","87.4","77.0"
"PSW00040309","10-01","10.4","82.2","87.4","77.0"
"PSW00040309","10-02","10.4","82.2","87.4","77.0"
"PSW00040309","10-03","10.3","82.2","87.4","77.1"
"PSW00040309","10-04","10.3","82.3","87.4","77.1"
"PSW00040309","10-05","10.3","82.3","87.4","77.1"
"PSW00040309","10-06","10.3","82.3","87.5","77.1"
"PSW00040309","10-07","10.3","82.3","87.5","77.2"
"PSW00040309","10-08","10.3","82.4","87.5","77.2"
"PSW00040309","10-09","10.3","82.4","87.5","77.2"
"PSW00040309","10-10","10.4","82.4","87.6","77.2"
"PSW00040309","10-11","10.4","82.4","87.6","77.2"
"PSW00040309","10-12","10.4","82.4","87.6","77.2"
"PSW00040309","10-13","10.4","82.5","87.7","77.3"
"PSW00040309","10-14","10.4","82.5","87.7","77.3"
"PSW00040309","10-15","10.5","82.5","87.7","77.3"
"PSW00040309","10-16","10.5","82.5","87.8","77.3"
"PSW00040309","10-17","10.5","82.5","87.8","77.3"
"PSW00040309","10-18","10.6","82.6","87.8","77.3"
"PSW00040309","10-19","10.6","82.6","87.9","77.3"
"PSW00040309","10-20","10.6","82.6","87.9","77.3"
"PSW00040309","10-21","10.7","82.6","88.0","77.3"
"PSW00040309","10-22","10.7","82.6","88.0","77.3"
"PSW00040309","10-23","10.8","82.6","88.0","77.3"
"PSW00040309","10-24","10.8","82.7","88.1","77.2"
"PSW00040309","10-25","10.9","82.7","88.1","77.2"
"PSW00040309","10-26","10.9","82.7","88.1","77.2"
"PSW00040309","10-27","11.0","82.7","88.2","77.2"
"PSW00040309","10-28","11.0","82.7","88.2","77.2"
"PSW00040309","10-29","11.1","82.7","88.3","77.2"
"PSW00040309","10-30","11.1","82.7","88.3","77.1"
"PSW00040309","10-31","11.2","82.7","88.3","77.1"
"PSW00040309","11-01","11.2","82.7","88.3","77.1"
"PSW00040309","11-02","11.3","82.7","88.4","77.1"
"PSW00040309","11-03","11.3","82.7","88.4","77.1"
"PSW00040309","11-04","11.4","82.7","88.4","77.0"
"PSW00040309","11-05","11.4","82.7","88.4","77.0"
"PSW00040309","11-06","11.5","82.7","88.5","77.0"
"PSW00040309","11-07","11.5","82.7","88.5","77.0"
"PSW00040309","11-08","11.5","82.7","88.5","77.0"
"PSW00040309","11-09","11.6","82.7","88.5","77.0"
"PSW00040309","11-10","11.6","82.7","88.5","76.9"
"PSW00040309","11-11","11.6","82.7","88.5","76.9"
"PSW00040309","11-12","11.6","82.7","88.6","76.9"
"PSW00040309","11-13","11.7","82.7","88.6","76.9"
"PSW00040309","11-14","11.7","82.7","88.6","76.9"
"PSW00040309","11-15","11.7","82.7","88.6","76.9"
"PSW00040309","11-16","11.7","82.7","88.6","76.9"
"PSW00040309","11-17","11.7","82.7","88.6","76.8"
"PSW00040309","11-18","11.7","82.7","88.6","76.8"
"PSW00040309","11-19","11.7","82.7","88.6","76.8"
"PSW00040309","11-20","11.7","82.7","88.6","76.8"
"PSW00040309","11-21","11.7","82.7","88.5","76.8"
"PSW00040309","11-22","11.7","82.7","88.5","76.8"
"PSW00040309","11-23","11.7","82.7","88.5","76.8"
"PSW00040309","11-24","11.7","82.7","88.5","76.8"
"PSW00040309","11-25","11.7","82.7","88.5","76.8"
"PSW00040309","11-26","11.7","82.7","88.5","76.8"
"PSW00040309","11-27","11.7","82.6","88.5","76.8"
"PSW00040309","11-28","11.6","82.6","88.5","76.8"
"PSW00040309","11-29","11.6","82.6","88.4","76.8"
"PSW00040309","11-30","11.6","82.6","88.4","76.8"
"PSW00040309","12-01","11.6","82.6","88.4","76.8"
"PSW00040309","12-02","11.6","82.6","88.4","76.8"
"PSW00040309","12-03","11.5","82.6","88.4","76.8"
"PSW00040309","12-04","11.5","82.6","88.4","76.9"
"PSW00040309","12-05","11.5","82.6","88.4","76.9"
"PSW00040309","12-06","11.5","82.6","88.4","76.9"
"PSW00040309","12-07","11.5","82.6","88.3","76.9"
"PSW00040309","12-08","11.4","82.6","88.3","76.9"
"PSW00040309","12-09","11.4","82.6","88.3","76.9"
"PSW00040309","12-10","11.4","82.6","88.3","76.9"
"PSW00040309","12-11","11.4","82.6","88.3","76.9"
"PSW00040309","12-12","11.4","82.6","88.3","76.9"
"PSW00040309","12-13","11.4","82.6","88.3","76.9"
"PSW00040309","12-14","11.4","82.6","88.3","76.9"
"PSW00040309","12-15","11.3","82.6","88.3","76.9"
"PSW00040309","12-16","11.3","82.6","88.3","76.9"
"PSW00040309","12-17","11.3","82.6","88.3","76.9"
"PSW00040309","12-18","11.3","82.6","88.3","76.9"
"PSW00040309","12-19","11.3","82.6","88.3","76.9"
"PSW00040309","12-20","11.3","82.6","88.3","76.9"
"PSW00040309","12-21","11.3","82.6","88.3","76.9"
"PSW00040309","12-22","11.3","82.6","88.3","76.9"
"PSW00040309","12-23","11.3","82.6","88.3","76.9"
"PSW00040309","12-24","11.3","82.6","88.3","76.9"
"PSW00040309","12-25","11.3","82.6","88.3","76.9"
"PSW00040309","12-26","11.4","82.6","88.3","76.9"
"PSW00040309","12-27","11.4","82.6","88.3","76.9"
"PSW00040309","12-28","11.4","82.6","88.3","76.9"
"PSW00040309","12-29","11.4","82.6","88.3","76.9"
"PSW00040309","12-30","11.4","82.6","88.3","76.9"
"PSW00040309","12-31","11.4","82.6","88.3","76.9"
